                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1242,                 1.7201,                 1.3944,                0.78253,                0.64817,                0.74748,                0.47141,                 1.1312,                 1.1378,                 1.3696,              0.0033251,              0.0033251,              0.0033251
                      2,                0.96886,                 1.2147,                 1.2757,                 0.8122,                0.67518,                0.77285,                0.49893,                 1.1262,                 2.8222,                 1.3878,              0.0065925,              0.0065925,              0.0065925
                      3,                0.99799,                 1.2226,                 1.2963,                0.72006,                0.62957,                0.69277,                0.41727,                 1.2896,                 9.1245,                 1.5529,              0.0097939,              0.0097939,              0.0097939
                      4,                 1.0121,                 1.2526,                  1.315,                0.81654,                0.70176,                0.78899,                0.51467,                 1.1111,                 3.0141,                 1.3599,               0.009703,               0.009703,               0.009703
                      5,                0.96493,                 1.1494,                 1.2811,                0.85305,                0.71672,                 0.8226,                0.54823,                 1.0866,                 1.5726,                 1.3383,               0.009703,               0.009703,               0.009703
                      6,                0.92387,                 1.0666,                  1.252,                0.87912,                0.77123,                0.86571,                0.58846,                  1.037,                 5.6604,                 1.3039,               0.009604,               0.009604,               0.009604
                      7,                0.89241,                 1.0058,                 1.2282,                0.88543,                0.78881,                0.88142,                0.61585,                0.97765,                 1.8648,                  1.232,               0.009505,               0.009505,               0.009505
                      8,                0.86434,                0.95748,                 1.2081,                0.88307,                0.80954,                0.89389,                0.63551,                0.96198,                 1.1043,                 1.2288,               0.009406,               0.009406,               0.009406
                      9,                0.84376,                0.91805,                 1.1927,                0.92079,                0.84967,                0.92735,                0.68638,                0.87547,                0.97162,                 1.1478,               0.009307,               0.009307,               0.009307
                     10,                0.82709,                 0.8843,                 1.1802,                 0.9316,                0.87037,                0.94345,                0.71122,                0.86404,                  1.428,                 1.1297,               0.009208,               0.009208,               0.009208
                     11,                 0.8104,                0.85754,                 1.1678,                0.93292,                0.88863,                0.95178,                0.73694,                0.78982,                 1.8507,                 1.0839,               0.009109,               0.009109,               0.009109
                     12,                0.79468,                0.83287,                 1.1562,                0.94716,                0.87455,                0.94763,                0.74067,                0.77101,                0.91339,                 1.0725,                0.00901,                0.00901,                0.00901
                     13,                0.78306,                0.81296,                  1.147,                0.94275,                0.90292,                0.96057,                0.76265,                0.73869,                0.67281,                 1.0358,               0.008911,               0.008911,               0.008911
                     14,                0.77402,                0.79528,                  1.141,                0.95721,                0.90716,                0.96579,                 0.7783,                0.71391,                0.62246,                 1.0166,               0.008812,               0.008812,               0.008812
                     15,                0.75978,                0.77563,                 1.1313,                0.95013,                0.92128,                0.97013,                0.78929,                0.68642,                0.67496,                 1.0004,               0.008713,               0.008713,               0.008713
                     16,                0.75232,                0.76172,                 1.1247,                0.95818,                0.92469,                0.97184,                 0.7988,                0.67397,                 0.6206,                0.98534,               0.008614,               0.008614,               0.008614
                     17,                0.74199,                0.74977,                 1.1195,                0.96604,                0.92316,                0.97457,                0.80765,                0.65226,                0.57059,                0.97393,               0.008515,               0.008515,               0.008515
                     18,                0.73584,                0.73721,                 1.1146,                0.96683,                0.93267,                0.97837,                0.81709,                0.62727,                0.78886,                0.95015,               0.008416,               0.008416,               0.008416
                     19,                0.72589,                0.72322,                 1.1077,                0.96614,                0.94026,                0.97973,                 0.8246,                0.61319,                 0.7085,                0.94633,               0.008317,               0.008317,               0.008317
                     20,                0.72112,                0.71536,                 1.1039,                0.97366,                 0.9392,                 0.9817,                0.82727,                 0.6093,                0.57536,                0.94185,               0.008218,               0.008218,               0.008218
                     21,                0.71467,                0.70326,                 1.0982,                0.97039,                0.94345,                0.98201,                  0.829,                0.60402,                0.54729,                0.93668,               0.008119,               0.008119,               0.008119
                     22,                0.70657,                0.69382,                 1.0939,                0.96985,                0.94947,                0.98306,                0.84022,                 0.5788,                0.62445,                0.92038,                0.00802,                0.00802,                0.00802
                     23,                0.70214,                0.68772,                 1.0912,                0.97096,                 0.9496,                0.98462,                0.84377,                0.57383,                0.53148,                0.91463,               0.007921,               0.007921,               0.007921
                     24,                0.69674,                0.67975,                 1.0866,                0.97253,                 0.9533,                0.98536,                 0.8504,                0.55925,                0.55808,                0.90659,               0.007822,               0.007822,               0.007822
                     25,                0.68982,                0.67109,                 1.0828,                0.97419,                0.95091,                0.98591,                0.85404,                0.54991,                0.42639,                0.89651,               0.007723,               0.007723,               0.007723
                     26,                0.68573,                0.66415,                 1.0798,                0.97467,                0.95819,                0.98729,                0.86141,                0.53429,                0.45006,                0.88393,               0.007624,               0.007624,               0.007624
                     27,                0.67862,                0.65651,                  1.075,                0.97829,                0.95734,                0.98767,                0.86352,                0.52893,                0.42514,                0.88197,               0.007525,               0.007525,               0.007525
                     28,                0.67314,                0.64934,                 1.0723,                0.98048,                0.95603,                0.98672,                0.86515,                0.52691,                0.41574,                0.88039,               0.007426,               0.007426,               0.007426
                     29,                0.67127,                0.64541,                 1.0723,                0.97811,                0.96031,                0.98797,                0.86793,                0.52293,                0.40207,                0.87899,               0.007327,               0.007327,               0.007327
                     30,                    inf,                 0.6382,                 1.0688,                0.98052,                0.96033,                0.98789,                0.87089,                0.51307,                0.45699,                 0.8736,               0.007228,               0.007228,               0.007228
                     31,                0.66096,                0.63281,                 1.0646,                 0.9784,                 0.9633,                0.98864,                 0.8734,                0.50613,                 0.3922,                0.86732,               0.007129,               0.007129,               0.007129
                     32,                0.65999,                0.62942,                  1.063,                0.97474,                 0.9652,                0.98863,                0.87617,                0.50149,                0.37604,                0.86401,                0.00703,                0.00703,                0.00703
                     33,                0.65531,                0.62152,                 1.0603,                0.97746,                0.96311,                0.98901,                0.87712,                    0.5,                0.39112,                0.86124,               0.006931,               0.006931,               0.006931
                     34,                0.65183,                0.61863,                 1.0602,                 0.9801,                0.96206,                 0.9892,                0.87828,                0.49623,                0.37195,                0.85822,               0.006832,               0.006832,               0.006832
                     35,                0.64529,                0.61106,                 1.0533,                0.98017,                0.96219,                0.98949,                0.88167,                0.49029,                 0.3514,                0.85389,               0.006733,               0.006733,               0.006733
                     36,                0.64388,                0.60787,                 1.0553,                0.98019,                0.96268,                0.98911,                 0.8838,                0.48474,                0.35611,                0.85057,               0.006634,               0.006634,               0.006634
                     37,                 0.6366,                0.59927,                 1.0494,                0.98057,                0.96396,                0.98947,                0.88576,                0.47944,                0.32885,                0.84783,               0.006535,               0.006535,               0.006535
                     38,                0.63436,                0.59517,                 1.0482,                0.97779,                0.96796,                 0.9902,                0.88689,                0.47735,                0.32903,                0.84634,               0.006436,               0.006436,               0.006436
                     39,                0.63316,                 0.5951,                 1.0466,                0.97934,                0.96679,                0.98984,                0.88733,                 0.4746,                0.32423,                0.84404,               0.006337,               0.006337,               0.006337
                     40,                 0.6266,                0.58812,                 1.0437,                0.97552,                0.97037,                 0.9898,                0.88827,                0.47228,                0.32084,                0.84171,               0.006238,               0.006238,               0.006238
                     41,                0.62165,                0.58036,                 1.0397,                0.97762,                 0.9678,                0.98984,                 0.8894,                0.47025,                0.32623,                0.84031,               0.006139,               0.006139,               0.006139
                     42,                0.61903,                0.57803,                 1.0402,                0.97929,                0.96723,                0.98997,                0.89052,                0.46764,                0.32892,                0.83812,                0.00604,                0.00604,                0.00604
                     43,                0.61725,                0.57377,                 1.0382,                0.97844,                0.96806,                0.98992,                0.89166,                0.46489,                 0.3315,                0.83627,               0.005941,               0.005941,               0.005941
                     44,                0.61473,                0.57126,                  1.037,                0.97964,                0.96663,                0.99026,                0.89241,                0.46264,                 0.3296,                0.83473,               0.005842,               0.005842,               0.005842
                     45,                0.60831,                0.56565,                 1.0316,                0.97965,                0.96705,                0.99024,                0.89273,                0.46077,                0.32631,                0.83363,               0.005743,               0.005743,               0.005743
                     46,                0.60848,                0.56322,                 1.0323,                0.97861,                0.96763,                0.99024,                 0.8939,                0.45922,                0.32755,                0.83261,               0.005644,               0.005644,               0.005644
                     47,                0.60406,                 0.5617,                 1.0293,                0.97835,                0.96951,                0.99044,                0.89492,                0.45717,                0.32896,                0.83114,               0.005545,               0.005545,               0.005545
                     48,                0.60027,                0.55517,                 1.0287,                0.97896,                0.96874,                0.99022,                 0.8962,                0.45565,                0.32739,                   0.83,               0.005446,               0.005446,               0.005446
                     49,                0.59748,                0.55115,                 1.0249,                0.97884,                0.96894,                0.99031,                0.89712,                0.45375,                0.32423,                0.82886,               0.005347,               0.005347,               0.005347
                     50,                0.59267,                0.54626,                 1.0236,                0.97804,                0.96895,                0.99028,                0.89754,                0.45235,                0.32469,                 0.8277,               0.005248,               0.005248,               0.005248
                     51,                 0.5897,                0.54387,                 1.0227,                0.97836,                0.96925,                0.99053,                0.89775,                0.45108,                0.32448,                 0.8269,               0.005149,               0.005149,               0.005149
                     52,                0.58639,                0.54093,                 1.0192,                0.97871,                0.96909,                0.99074,                0.89861,                0.44963,                 0.3232,                0.82586,                0.00505,                0.00505,                0.00505
                     53,                0.58466,                0.53764,                 1.0187,                0.97761,                0.96992,                0.99077,                0.89924,                 0.4481,                0.32179,                0.82487,               0.004951,               0.004951,               0.004951
                     54,                0.58094,                0.53206,                 1.0163,                0.97749,                0.97006,                0.99073,                0.90001,                0.44657,                0.32077,                0.82403,               0.004852,               0.004852,               0.004852
                     55,                0.57439,                0.52513,                 1.0124,                0.97797,                0.96985,                0.99083,                0.90062,                0.44521,                0.31997,                 0.8231,               0.004753,               0.004753,               0.004753
                     56,                0.57361,                0.52409,                 1.0128,                0.97832,                0.96969,                0.99104,                0.90119,                0.44399,                0.32096,                0.82224,               0.004654,               0.004654,               0.004654
                     57,                0.57023,                0.51942,                 1.0102,                0.97848,                0.97017,                0.99107,                0.90194,                0.44256,                0.31992,                 0.8214,               0.004555,               0.004555,               0.004555
                     58,                 0.5686,                0.51595,                 1.0077,                0.97757,                0.97125,                0.99099,                0.90278,                0.44115,                0.32034,                0.82067,               0.004456,               0.004456,               0.004456
                     59,                0.56538,                0.51403,                 1.0083,                0.97796,                0.97069,                 0.9912,                0.90342,                0.44022,                0.32103,                0.82045,               0.004357,               0.004357,               0.004357
                     60,                0.55888,                0.50904,                 1.0055,                0.97793,                0.97105,                0.99107,                0.90372,                0.43891,                0.32162,                0.81982,               0.004258,               0.004258,               0.004258
                     61,                0.55602,                0.50404,                 1.0039,                0.97729,                0.97172,                0.99151,                0.90489,                0.43711,                0.32665,                0.81912,               0.004159,               0.004159,               0.004159
                     62,                0.55529,                 0.5011,                 1.0025,                0.97761,                  0.972,                0.99114,                0.90549,                0.43546,                0.32794,                 0.8184,                0.00406,                0.00406,                0.00406
                     63,                0.54938,                0.49621,                0.99786,                0.97865,                0.97108,                0.99112,                0.90593,                0.43426,                0.32944,                0.81771,               0.003961,               0.003961,               0.003961
                     64,                0.54511,                0.49042,                0.99704,                0.97931,                0.97077,                0.99194,                0.90658,                 0.4328,                0.32977,                0.81687,               0.003862,               0.003862,               0.003862
                     65,                0.54231,                 0.4893,                0.99334,                0.97893,                0.97121,                0.99177,                0.90706,                0.43105,                0.33101,                0.81597,               0.003763,               0.003763,               0.003763
                     66,                0.53773,                0.48492,                 0.9938,                0.97671,                0.97269,                0.99191,                0.90765,                0.42939,                0.33317,                0.81497,               0.003664,               0.003664,               0.003664
                     67,                0.53349,                0.48011,                0.98978,                0.97729,                 0.9727,                 0.9918,                0.90831,                0.42795,                0.33339,                0.81402,               0.003565,               0.003565,               0.003565
                     68,                    inf,                0.47839,                0.98927,                0.97701,                0.97287,                0.99184,                0.90884,                0.42645,                0.33243,                0.81309,               0.003466,               0.003466,               0.003466
                     69,                0.52786,                0.47323,                0.98745,                0.97657,                0.97444,                0.99203,                0.90944,                0.42459,                0.33178,                0.81184,               0.003367,               0.003367,               0.003367
                     70,                0.52359,                0.46956,                0.98632,                0.97702,                0.97406,                0.99206,                0.91056,                0.42293,                0.33193,                 0.8109,               0.003268,               0.003268,               0.003268
                     71,                0.51891,                0.46381,                0.98425,                0.97661,                0.97448,                0.99215,                0.91156,                0.42138,                0.33464,                0.81021,               0.003169,               0.003169,               0.003169
                     72,                0.51564,                 0.4594,                0.98037,                0.97649,                0.97536,                0.99219,                0.91223,                0.41965,                0.33491,                0.80921,                0.00307,                0.00307,                0.00307
                     73,                0.51283,                 0.4562,                0.98008,                0.97645,                0.97574,                0.99225,                0.91303,                0.41812,                0.33099,                0.80842,               0.002971,               0.002971,               0.002971
                     74,                0.50897,                0.45324,                0.97775,                0.97681,                0.97571,                0.99225,                0.91365,                 0.4166,                0.32977,                0.80753,               0.002872,               0.002872,               0.002872
                     75,                0.50511,                0.45075,                0.97721,                0.97659,                 0.9762,                0.99226,                 0.9142,                0.41517,                0.32876,                0.80667,               0.002773,               0.002773,               0.002773
                     76,                0.50053,                0.44516,                0.97527,                0.97658,                0.97648,                0.99224,                0.91463,                0.41267,                0.32999,                0.80509,               0.002674,               0.002674,               0.002674
                     77,                0.49691,                 0.4419,                0.97258,                0.97687,                0.97589,                0.99227,                0.91551,                0.41102,                0.32841,                0.80429,               0.002575,               0.002575,               0.002575
                     78,                0.49276,                0.43706,                0.96957,                0.97732,                0.97605,                 0.9923,                0.91617,                0.40956,                0.32423,                0.80359,               0.002476,               0.002476,               0.002476
                     79,                0.49023,                0.43435,                0.96863,                0.97834,                0.97542,                0.99233,                0.91704,                0.40793,                0.32259,                0.80286,               0.002377,               0.002377,               0.002377
                     80,                0.48522,                0.42951,                0.96659,                0.97893,                0.97503,                0.99234,                0.91811,                0.40646,                0.31611,                0.80206,               0.002278,               0.002278,               0.002278
                     81,                0.47885,                0.42341,                 0.9628,                0.97896,                0.97483,                0.99238,                0.91859,                0.40476,                0.31138,                0.80114,               0.002179,               0.002179,               0.002179
                     82,                0.47586,                0.41979,                0.96209,                0.97916,                0.97461,                0.99241,                0.91945,                0.40303,                 0.3081,                0.80015,                0.00208,                0.00208,                0.00208
                     83,                0.47017,                0.41599,                0.95885,                0.97918,                0.97498,                0.99244,                0.92047,                0.40137,                0.30524,                0.79914,               0.001981,               0.001981,               0.001981
                     84,                0.46741,                0.41297,                0.95655,                0.97926,                0.97536,                0.99247,                0.92119,                0.39949,                0.29988,                0.79812,               0.001882,               0.001882,               0.001882
                     85,                0.46308,                0.40796,                0.95475,                0.97939,                0.97564,                0.99251,                0.92195,                 0.3978,                0.29587,                0.79709,               0.001783,               0.001783,               0.001783
                     86,                0.45688,                0.40384,                 0.9534,                0.97879,                0.97645,                0.99245,                0.92267,                 0.3962,                0.29289,                0.79628,               0.001684,               0.001684,               0.001684
                     87,                0.45389,                0.39863,                0.95252,                0.97833,                0.97696,                0.99244,                0.92342,                0.39455,                0.28861,                0.79543,               0.001585,               0.001585,               0.001585
                     88,                0.44863,                0.39316,                0.94971,                0.97835,                0.97704,                0.99252,                 0.9246,                0.39264,                0.28507,                 0.7945,               0.001486,               0.001486,               0.001486
                     89,                0.44527,                 0.3888,                0.94683,                0.97831,                0.97726,                 0.9926,                0.92504,                0.39094,                0.28356,                 0.7935,               0.001387,               0.001387,               0.001387
                     90,                0.43888,                 0.3853,                0.94577,                0.97937,                0.97704,                0.99271,                0.92572,                0.38906,                0.27991,                0.79254,               0.001288,               0.001288,               0.001288
                     91,                 0.3871,                0.28876,                0.90679,                0.97993,                0.97717,                0.99272,                0.92688,                0.38703,                0.27598,                 0.7915,               0.001189,               0.001189,               0.001189
                     92,                0.37485,                0.27849,                0.90215,                0.97972,                0.97742,                0.99272,                0.92771,                0.38465,                0.27024,                0.79024,                0.00109,                0.00109,                0.00109
                     93,                 0.3661,                0.27049,                0.89718,                 0.9798,                0.97767,                 0.9927,                 0.9287,                0.38243,                0.26716,                0.78898,               0.000991,               0.000991,               0.000991
                     94,                    inf,                0.26635,                0.89317,                0.98009,                0.97787,                0.99275,                0.92971,                0.38006,                 0.2644,                0.78757,               0.000892,               0.000892,               0.000892
                     95,                0.35144,                0.26057,                0.89077,                0.98009,                0.97784,                0.99278,                0.93061,                0.37774,                0.25929,                0.78621,               0.000793,               0.000793,               0.000793
                     96,                0.34546,                0.25487,                 0.8882,                0.98021,                0.97812,                0.99282,                0.93129,                0.37569,                0.25444,                0.78489,               0.000694,               0.000694,               0.000694
                     97,                0.33775,                0.24941,                0.88362,                0.98009,                0.97781,                0.99286,                0.93237,                0.37343,                 0.2514,                0.78343,               0.000595,               0.000595,               0.000595
                     98,                0.33032,                0.24365,                0.88043,                0.98028,                0.97809,                0.99294,                0.93315,                0.37114,                0.24849,                0.78193,               0.000496,               0.000496,               0.000496
                     99,                0.32418,                0.24045,                0.87841,                0.98068,                0.97828,                0.99296,                0.93413,                0.36868,                0.24466,                0.78037,               0.000397,               0.000397,               0.000397
                    100,                0.31643,                0.23561,                0.87548,                0.98081,                0.97826,                  0.993,                0.93499,                0.36668,                0.24088,                0.77903,               0.000298,               0.000298,               0.000298
